127,00:11:51.460,00:11:54.212,"['Ten', 'years', 'of', 'peace', 'and', 'prosperity']"
128,00:11:54.296,00:11:56.381,"['ever', 'since', 'our', 'prince', 'came', 'back', 'to', 'us.']"
129,00:11:56.465,00:11:59.676,"['My', 'old', 'friend,', 'here’s', 'to', '20', 'more.']"
131,00:12:32.543,00:12:34.377,"['Hamza', 'Bey.']"
132,00:12:34.461,00:12:35.921,['Welcome.']
133,00:12:36.005,00:12:38.173,"['We', 'were', 'not', 'expecting', 'you', 'so', 'soon.']"
134,00:12:38.257,00:12:42.594,"['Sultan', 'Mehmed', 'II', 'offers', 'his', 'salutations', 'to', 'you', 'and', 'your', 'son.']"
135,00:12:42.678,00:12:46.015,"['Thank', 'him.', 'I', 'have', 'his', 'tribute', 'ready.']"
136,00:12:50.102,00:12:51.937,['Mmm.']
137,00:12:52.021,00:12:56.942,"['I’m', 'afraid', 'there’s', 'something', 'more', 'than', 'a', 'tribute', 'to', 'discuss.']"
138,00:12:57.026,00:12:58.944,"['The', 'Turks', 'have', 'no', 'enemies', 'here.']"
139,00:12:59.028,00:13:02.697,"['Did', 'you', 'think', 'we', 'would', 'not', 'notice', 'a', 'battalion', 'of', 'our', 'scouts', 'missing?']"
140,00:13:02.781,00:13:04.951,"['I', 'did', 'not', 'kill', 'them.']"
142,00:13:10.539,00:13:16.128,"['Locked', 'in', 'a', 'dark', 'cage,', 'hidden', 'away.']"
143,00:13:16.212,00:13:20.507,"['But', 'you', 'and', 'I...', 'we', 'both', 'know', 'it’s', 'there.']"
144,00:13:25.179,00:13:26.931,"['The', 'sultan’s', 'tribute.']"
145,00:13:28.182,00:13:29.683,"['Take', 'it', 'and', 'leave.']"
146,00:13:38.234,00:13:39.902,['Ah.']
147,00:13:39.986,00:13:42.154,"['There', 'is', 'one', 'last', 'thing.']"
148,00:13:44.531,00:13:48.826,"['The', 'sultan', 'requires', '1,000', 'boys', 'to', 'join', 'his', 'Janissary', 'Corps.']"
150,00:13:51.788,00:13:53.081,['No!']
151,00:13:51.788,00:13:53.081,['Never!']
152,00:13:53.165,00:13:55.333,"['VLAD:', 'Janissaries?']"
153,00:13:55.417,00:13:57.502,"['He', 'ended', 'that', 'practice', 'years', 'ago.']"
154,00:13:57.586,00:14:01.631,"['When', 'a', 'soldier', 'is', 'plucked', 'as', 'a', 'child']"
155,00:14:01.715,00:14:04.176,"['and', 'raised', 'to', 'know', 'no', 'other', 'life,']"
156,00:14:04.260,00:14:08.346,"['they', 'will', 'kill', 'without', 'question', 'and', 'die', 'without', 'complaint.']"
157,00:14:08.430,00:14:09.932,"['MAN:', 'Never!']"
158,00:14:10.016,00:14:14.102,"['Any', 'who', 'are', '15', 'years', 'of', 'age', 'or', 'older', 'will', 'fight', 'in', 'Hungary.']"
159,00:14:14.186,00:14:18.440,"['Those', '10', 'to', '14', 'will', 'be', 'made', 'ready', 'for', 'the', 'siege', 'on', 'Vienna.']"
160,00:14:19.984,00:14:22.569,"['The', 'sultan', 'expects', 'your', 'obedience.']"
161,00:14:22.653,00:14:24.362,"['After', 'all,']"
162,00:14:24.446,00:14:27.699,"['did', 'not', 'your', 'own', 'father', 'give', 'you', 'up', 'without', 'a', 'fight?']"
165,00:14:35.582,00:14:37.584,"['Don’t.', 'Please.']"
167,00:14:44.800,00:14:47.719,"['You', 'mean,', 'who', 'you', 'were.']"
168,00:14:50.097,00:14:52.307,"['You', 'have', 'no', 'army', 'and', 'no', 'choice,', 'Prince.']"
169,00:14:52.391,00:14:55.727,"['Follow', 'our', 'command,', 'or', 'suffer', 'the', 'consequences.']"
171,00:15:09.158,00:15:11.368,"['It', 'must', 'be', 'done.']"
172,00:15:11.452,00:15:13.578,"['Courage,', 'anger,', 'even', 'love–']"
173,00:15:13.662,00:15:15.663,"['none', 'of', 'these', 'can', 'matter', 'to', 'a', 'prince.']"
174,00:15:15.747,00:15:19.293,"['All', 'that', 'matters', 'is', 'his', 'duty', 'to', 'his', 'people.']"
175,00:15:23.089,00:15:25.841,"['INGERAS:', 'What', 'does', 'it', 'mean', 'to', 'be', 'a', 'royal', 'hostage?']"
176,00:15:27.176,00:15:30.345,"['My', 'father', 'gave', 'me', 'to', 'the', 'sultan', 'to', 'prove', 'his', 'loyalty.']"
177,00:15:30.429,00:15:33.765,"['Were', 'you', 'scared', 'there?', 'With', 'them.']"
178,00:15:33.849,00:15:36.685,"['I', 'wanted', 'to', 'make', 'my', 'father', 'proud.']"
179,00:15:37.853,00:15:40.189,"['Would', 'you', 'ever', 'give', 'me', 'to', 'the', 'sultan?']"
180,00:15:43.484,00:15:45.694,"['That', 'was', 'a', 'long', 'time', 'ago.']"
181,00:15:48.197,00:15:50.782,"['You', 'have', 'nothing', 'to', 'worry', 'about.']"
182,00:15:52.034,00:15:53.702,"['Do', 'you', 'understand?']"
183,00:15:55.704,00:15:57.206,['Good.']
185,00:16:13.097,00:16:15.307,"['they’ll', 'kill', 'a', 'hundred', 'for', 'every', 'one', 'I', 'save.']"
186,00:16:15.391,00:16:19.145,"['You', 'told', 'me', 'you', 'and', 'Mehmed', 'were', 'once', 'like', 'brothers.']"
187,00:16:20.771,00:16:22.772,"['Were', 'you', 'to', 'ask,']"
188,00:16:22.856,00:16:26.402,"['isn’t', 'it', 'possible', 'he', 'might', 'show', 'you', 'some', 'mercy?']"
190,00:16:50.967,00:16:52.844,"['You', 'ever', 'see', 'the', 'like', 'of', 'it?']"
191,00:16:52.928,00:16:55.764,"['Soon', 'the', 'entire', 'world', 'will', 'be', 'Turk.']"
192,00:17:11.488,00:17:13.282,"['Lord', 'Impaler.']"
