title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max,running_time(sec),weight
Passengers,2100,204,201,26,16,42,3.0137675222384464,1.1164200979461345,0.7155635062611807,6.925945657964838,6186.055,0.5819540886720211
Penguins.of.Madagascar_.The.Movie,2030,329,384,91,32,47,2.395318061203802,0.9687424027930516,0.5577244841048522,6.305170239596468,5436.682,0.6621685800273034
Prisoners,3027,200,216,41,12,14,3.306699405981195,1.319730509919564,0.7155635062611807,9.090909090909092,8630.038,0.4171476417600942
Seaspiracy,4078,670,776,98,46,45,3.0825120302549136,0.7088913617083136,0.5812432793745822,5.770084332001775,5198.359,0.6925262376069062
Second.Act,3333,336,248,52,34,30,3.289352116488136,1.0029997971332794,0.8274720728175424,6.463527239150508,5764.333,0.6245301928254319
The.Accountant,2751,428,370,68,28,38,2.599439822200828,1.10771631049022,0.5918910920390648,11.415525114155251,7246.948,0.4967608433232858
The.Boy.in.the.Striped.Pajamas,1243,137,89,25,2,7,3.2278478003432283,0.9888290313346738,0.8058991820123302,5.770084332001775,5104.14,0.705309807332871
The.Dark.Knight,4162,490,430,70,57,44,2.857939267316757,0.9998465457454012,0.5524480353566743,6.242197253433209,8560.686,0.4205270465474379
The.Departed,4243,428,653,126,37,47,2.752974841357045,1.1039530219927738,0.5047955577990914,6.16860863605209,8600.3,0.4185900491843308
The.Family.Man,3386,285,216,59,18,17,3.181521074895427,1.1242363175914984,0.5628095452498875,6.741573033707866,7125.035,0.5052606759124693
The.Intern,4910,382,306,55,34,46,3.619497217927925,1.3750000670779758,0.8059641345960105,9.225092250922508,6911.071,0.5209033447927246
The.Judge,3459,396,299,142,26,35,2.512169678628489,1.1252548632576154,0.5268703898840885,6.476683937823834,7905.44,0.4553826225991216
The.Revenant,1778,186,164,84,19,7,2.7593453445301184,0.9595181088663502,0.685048809727693,6.849315068493151,8454.905,0.425788344162353
The.Social.Dilemma,3870,600,489,64,48,35,3.225596290005984,0.8280224750015507,0.6284139797940735,5.9940059940059935,5546.04,0.6491117986887942
The.Truman.Show,2261,164,146,74,10,8,2.5428206604132817,1.1513250760758196,0.6309148264984227,7.534246575342466,5741.986,0.6269607762889008
There.Will.Be.Blood,2898,230,258,44,12,38,2.341123374057742,1.0154959884577597,0.5641748942172073,6.594724220623501,8764.213,0.4107613541569562
Three.Identical.Strangers,3116,283,247,37,38,21,3.051840629585544,1.0335575527587186,0.7365939893930465,7.733952049497295,5542.412,0.6495366999061059
Virunga,1580,243,158,49,11,16,2.318064716973834,0.8827641682420921,0.625,6.8181818181818175,5492.72,0.6554129830029566
What.the.Health,5126,824,870,124,107,93,3.1002636671252484,0.8510337473243085,0.7990411506192568,7.084468664850137,5342.963,0.673783441884213
Zodiac,5421,529,421,137,49,64,3.030727994432257,0.9701730664126664,0.5381165919282511,7.3778051029818625,9250.533,0.389166764769122
