word,counts,word_level
body,5,1.0
gun,5,1.0
forget,5,1.0
hack,5,3.0
rescue,5,2.0
happy,5,1.0
upload,5,5.0
visit,5,1.0
half,5,1.0
film,5,1.0
hell,5,2.0
before,5,1.0
bike,5,1.0
focus,5,1.0
finish,5,1.0
bag,5,1.0
picture,4,1.0
sign,4,1.0
knob,4,4.0
delete,4,3.0
downstairs,4,1.0
dark,4,1.0
dress,4,1.0
part,4,1.0
hunt,4,2.0
short,4,1.0
process,4,1.0
paedophile,4,6.0
tear,4,2.0
hurt,4,1.0
kidnap,4,3.0
hurry,4,2.0
present,4,1.0
suspect,4,2.0
decision,4,1.0
different,4,1.0
group,4,1.0
lead,4,1.0
perform,4,1.0
deal,4,1.0
person,4,1.0
pie,4,3.0
swear,4,2.0
death,4,1.0
mention,4,1.0
dude,4,3.0
same,4,1.0
excuse,4,2.0
major,4,1.0
spot,4,2.0
expect,4,1.0
select,4,2.0
illegal,4,2.0
join,4,1.0
heart,4,1.0
season,4,1.0
proper,4,2.0
murder,4,2.0
finally,4,1.0
hide,4,1.0
save,4,1.0
huh,4,4.0
midnight,4,1.0
foot,4,1.0
rest,4,1.0
lovely,4,2.0
loud,4,1.0
outsider,4,3.0
outside,4,1.0
list,4,1.0
self,4,2.0
road,4,1.0
idea,4,1.0
middle,4,1.0
embarrass,4,3.0
ride,4,1.0
sitter,4,4.0
official,4,2.0
engage,4,2.0
offer,4,1.0
off,4,1.0
stick,4,2.0
step,4,1.0
putt,4,4.0
load,4,2.0
soon,4,1.0
while,4,1.0
cover,4,1.0
clock,4,1.0
catch,4,1.0
write,4,1.0
bar,4,1.0
case,4,1.0
wipe,4,3.0
tweet,4,6.0
type,4,1.0
beat,4,1.0
crack,4,3.0
bed,4,1.0
button,4,1.0
usual,4,1.0
code,4,1.0
cold,4,1.0
truth,4,2.0
weakness,4,2.0
water,4,1.0
agree,4,1.0
toast,4,3.0
at,4,1.0
couple,4,1.0
compliance,4,3.0
cookie,4,1.0
advise,4,2.0
word,4,1.0
warn,4,2.0
thumb,4,3.0
consider,4,1.0
through,4,1.0
cause,4,1.0
continue,4,1.0
viewer,4,2.0
clean,4,1.0
visual,4,2.0
transmitter,4,4.0
cheesy,4,5.0
yet,4,1.0
apparent,4,2.0
check,4,1.0
paper,3,1.0
express,3,1.0
tire,3,2.0
panel,3,2.0
speech,3,1.0
box,3,1.0
spiritual,3,2.0
individual,3,1.0
shoe,3,1.0
incredible,3,1.0
comply,3,3.0
nature,3,1.0
obsess,3,3.0
guru,3,3.0
titties,3,6.0
specify,3,3.0
child,3,1.0
apart,3,2.0
brain,3,1.0
fantastic,3,1.0
neck,3,1.0
afternoon,3,1.0
immediate,3,2.0
nerve,3,2.0
prick,3,4.0
grateful,3,2.0
exist,3,1.0
involve,3,1.0
precise,3,3.0
prefer,3,1.0
kick,3,2.0
bollock,3,5.0
store,3,1.0
book,3,1.0
unlock,3,3.0
constituency,3,3.0
offence,3,3.0
prepare,3,1.0
sandwich,3,1.0
green,3,1.0
aside,3,2.0
confidence,3,2.0
star,3,1.0
pressure,3,2.0
mystery,3,2.0
confession,3,3.0
event,3,1.0
white,3,1.0
confess,3,3.0
preview,3,2.0
national,3,1.0
inside,3,1.0
breathe,3,2.0
commit,3,2.0
often,3,1.0
page,3,1.0
network,3,1.0
food,3,1.0
quid,3,3.0
career,3,1.0
no,3,1.0
smell,3,1.0
small,3,1.0
high,3,1.0
town,3,1.0
carpet,3,1.0
single,3,1.0
share,3,1.0
operation,3,2.0
fridge,3,3.0
clothe,3,3.0
friendly,3,1.0
frighten,3,2.0
pump,3,3.0
quickly,3,1.0
gentleman,3,2.0
online,3,1.0
onlooker,3,5.0
skull,3,3.0
sketch,3,3.0
trace,3,3.0
certain,3,1.0
tough,3,2.0
total,3,2.0
wish,3,1.0
outcome,3,2.0
