Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun
general,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False
generalist,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False
generality,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True,False
generalizable,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,False,False
generalization,NN,0.0,4.0,general,N,Y,Y,N,A4,A4,1,True,False
generalize,NN,0.0,3.0,general,N,N,N,Y,A4,A4,1,True,False
generally,B1,3000.0,5.0,general,N,N,N,N,A1,A2,2,False,False
generals,NN,0.0,0.0,NN,N,N,N,N,NN,NN,0,False,False
generate,B2,3000.0,4.0,general,Y,N,N,N,A2,A2,2,True,False
generation,B1,3000.0,3.0,social_studies,Y,N,N,N,A1,A1,2,True,False
generational,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0,False,False
generative,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,False,False
generator,NN,0.0,4.0,science,N,N,Y,Y,B1,B1,1,True,False
generic,C1,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,0,True,False
generically,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False
generosity,NN,0.0,6.0,social_studies,N,Y,N,N,B2,B3,1,True,False
generous,B1,3000.0,0.0,NN,N,Y,Y,Y,A4,B1,2,False,False
generously,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,False,False
genesis,NN,0.0,0.0,NN,N,N,N,N,C1,B3,1,True,False
genet,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
genetic,B2,5000.0,5.0,science,Y,N,N,N,A3,A3,0,True,False
genetically,NN,0.0,6.0,science,N,Y,N,N,A4,A4,0,False,False
geneticist,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True,False
genetics,NN,0.0,6.0,science,N,N,N,N,A4,A4,0,True,False
geneva,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,True
genial,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,False,False
geniality,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
genially,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
geniculate,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False
genie,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False
genital,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0,True,False
genitalia,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False
genitive,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
genitourinary,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
genius,B2,5000.0,0.0,NN,N,Y,N,N,B1,B1,1,True,False
genocidal,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False
genocide,C1,5000.0,6.0,social_studies,N,N,N,Y,B2,B1,0,True,False
genome,NN,0.0,6.0,science,N,N,N,N,B2,B1,0,True,False
genomic,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,False,False
genotype,NN,0.0,6.0,science,N,N,N,N,C1,C1,0,True,False
genre,B2,3000.0,1.0,social_studies,N,Y,Y,N,B1,B1,0,True,False
gent,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False
gentamicin,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gentamycin,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
genteel,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,False,False
