Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level
abominably,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
abomination,NN,0.0,6.0,social_studies,N,N,N,N,C2,C2,1,True,False,3.0
aborad,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
aboriginal,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0,True,False,5.0
aborigine,NN,0.0,6.0,social_studies,N,N,N,N,C3,C2,0,True,False,3.0
abort,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0,True,False,5.0
abortion,C1,5000.0,0.0,NN,N,N,N,N,A3,A2,0,True,False,2.0
abortionist,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abortive,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,False,False,5.0
abound,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True,False,4.0
about,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,False,False,1.0
above,A1,3000.0,0.0,NN,Y,N,N,N,A1,A2,2,True,False,1.0
aboveground,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
abracadabra,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False,6.0
abrade,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abraham,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True,True,3.0
abrasion,NN,0.0,6.0,science,N,Y,N,N,C2,C2,0,True,False,3.0
abrasive,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True,False,5.0
abreast,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False,False,5.0
abridge,NN,0.0,9.0,social_studies,N,N,N,N,C2,C2,1,True,False,4.0
abridgment,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
abroad,B2,3000.0,6.0,social_studies,N,N,N,N,A2,A3,2,False,False,2.0
abrogate,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
abrupt,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1,False,False,4.0
abruptly,NN,0.0,9.0,general,N,N,N,N,B1,B3,1,False,False,3.0
abruptness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abscess,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
abscissa,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abscond,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
abseil,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True,False,6.0
absence,C1,5000.0,9.0,general,N,N,N,N,A2,A3,2,True,False,2.0
absent,C1,5000.0,0.0,NN,N,Y,Y,N,B1,B1,2,True,False,2.0
absentee,NN,0.0,9.0,social_studies,N,N,N,N,B3,B1,0,True,False,5.0
absenteeism,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
absently,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
absentmindedly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
absolute,B2,3000.0,6.0,general,Y,N,N,N,A3,A3,2,True,False,2.0
absolutely,B1,3000.0,0.0,NN,N,N,N,N,A2,A1,2,False,False,2.0
absolution,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True,False,6.0
absolutism,NN,0.0,9.0,social_studies,N,N,N,N,C2,NN,0,True,False,5.0
absolutist,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
absolve,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
absorb,B2,5000.0,3.0,science,Y,Y,Y,Y,A3,A3,2,True,False,2.0
absorbency,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False,6.0
absorbent,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
absorber,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
absorption,NN,0.0,6.0,science,N,N,N,Y,A4,A4,1,True,False,3.0
absorptive,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
abstain,NN,0.0,0.0,NN,N,N,N,N,C1,B3,1,True,False,4.0
abstainer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abstemious,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
abstention,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
abstinence,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0,True,False,5.0
abstinent,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True,False,6.0
abstract,B2,5000.0,0.0,NN,Y,N,N,N,A3,A3,1,True,False,2.0
abstraction,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True,False,4.0
abstractly,NN,0.0,6.0,math,N,N,N,N,C4,NN,0,False,False,6.0
abstractness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abstruse,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
absurd,C1,5000.0,0.0,NN,N,N,N,N,B1,B1,1,True,False,3.0
absurdity,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,1,True,False,4.0
absurdly,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,False,False,5.0
abundance,NN,0.0,9.0,general,N,Y,N,N,B1,B2,1,True,False,3.0
abundant,NN,0.0,6.0,social_studies,N,Y,N,N,B1,B2,1,False,False,3.0
abundantly,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False,False,5.0
abuse,C1,5000.0,0.0,NN,N,N,N,N,A2,A2,2,True,False,2.0
abuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,2,True,False,2.0
abusive,NN,0.0,0.0,NN,N,N,N,N,B2,B2,0,False,False,4.0
abut,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
abutment,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True,False,6.0
abuzz,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,False,False,6.0
abysmal,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False,6.0
abysmally,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False,False,6.0
abyss,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
abyssal,NN,0.0,5.0,science,N,N,N,N,C4,NN,0,False,False,6.0
ac,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True,False,3.0
acacia,NN,0.0,0.0,NN,N,Y,N,N,C3,C2,0,True,False,3.0
academia,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
academic,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2,True,False,2.0
academically,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0,False,False,5.0
academician,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False,6.0
academy,C1,5000.0,0.0,NN,Y,Y,N,N,B1,B1,1,True,False,2.0
acanthocephalan,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,,6.0
acanthus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
accede,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
accelerate,C1,5000.0,4.0,science,Y,Y,N,Y,A4,A4,1,True,False,2.0
acceleration,NN,0.0,4.0,science,N,Y,N,N,A4,A4,0,True,False,3.0
accelerator,NN,0.0,9.0,science,N,N,N,N,B3,B3,0,True,False,5.0
accelerometer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
accent,B2,5000.0,0.0,NN,N,Y,Y,N,A3,A3,2,True,False,2.0
accentual,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
accentuate,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True,False,5.0
accentuation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
accept,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
acceptability,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
acceptable,B2,3000.0,0.0,NN,N,N,N,N,A3,A3,2,False,False,2.0
acceptance,C1,5000.0,9.0,general,N,Y,Y,Y,A4,B1,1,True,False,3.0
acceptation,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False,6.0
acceptor,NN,0.0,9.0,science,N,N,N,N,C3,NN,0,True,False,6.0
access,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
accessibility,NN,0.0,0.0,NN,N,N,N,N,B2,B1,0,True,False,4.0
accessible,C1,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1,True,False,3.0
accession,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True,False,4.0
accessorize,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
accessory,NN,0.0,0.0,NN,N,N,Y,N,B1,B2,1,True,False,3.0
accident,A2,3000.0,0.0,NN,Y,N,N,N,A2,A2,2,True,False,1.0
accidental,NN,0.0,0.0,NN,N,N,N,N,B2,B2,2,True,False,2.0
accidentally,B2,5000.0,0.0,NN,N,Y,N,N,B2,B1,0,False,False,3.0
acclaim,NN,0.0,6.0,social_studies,N,Y,Y,N,B2,B2,1,True,False,3.0
acclamation,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
acclimate,NN,0.0,0.0,NN,N,N,N,N,C3,C1,0,True,False,6.0
acclimatization,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acclimatize,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
accolade,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
accommodate,B2,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1,True,False,3.0
accommodation,B2,5000.0,6.0,social_studies,N,N,N,N,A2,A3,2,True,False,2.0
accompaniment,NN,0.0,0.0,NN,N,Y,N,N,B3,C1,1,True,False,3.0
accompanist,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
accompany,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2,True,False,2.0
accomplice,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
accomplish,B2,5000.0,0.0,NN,N,N,N,N,A3,A2,2,True,False,2.0
accomplishment,C1,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1,True,False,3.0
accord,NN,0.0,0.0,NN,N,N,N,N,A1,A1,1,True,False,1.0
accordance,NN,0.0,0.0,NN,N,N,N,Y,B1,B2,1,True,False,3.0
accordant,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False,False,6.0
according,NN,0.0,0.0,NN,Y,N,N,N,NN,NN,2,True,False,2.0
accordingly,C1,5000.0,0.0,NN,N,N,Y,Y,B1,B2,1,False,False,3.0
accordion,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
accordionist,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,True,False,6.0
accost,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False,6.0
account,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
accountability,C1,5000.0,0.0,NN,N,N,N,Y,B1,B1,0,True,False,3.0
accountable,C1,5000.0,9.0,social_studies,N,N,N,Y,B1,B1,1,True,False,3.0
accountancy,NN,0.0,0.0,NN,N,N,N,N,B3,C2,0,True,False,5.0
accountant,B2,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1,True,False,3.0
accoutrement,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True,False,6.0
accredit,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
accreditation,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False,5.0
accrete,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
accretion,NN,0.0,9.0,science,N,N,N,N,C1,NN,0,True,False,5.0
accretionary,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False,False,6.0
accrual,NN,0.0,0.0,NN,N,N,N,Y,C1,NN,0,True,False,3.0
accrue,NN,0.0,0.0,NN,N,N,N,Y,B2,B3,0,True,False,3.0
acculturate,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False,6.0
acculturation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
accumulate,C1,5000.0,0.0,NN,N,Y,Y,Y,A4,A4,1,True,False,3.0
accumulation,C1,5000.0,9.0,science,N,Y,N,Y,A4,A4,1,True,False,3.0
accumulative,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,False,False,6.0
accumulator,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False,6.0
accuracy,B2,5000.0,5.0,general,N,Y,Y,Y,A4,A4,1,True,False,2.0
accurate,B2,3000.0,4.0,general,Y,N,N,N,A3,A2,2,True,False,2.0
accurately,B2,5000.0,6.0,general,N,Y,Y,Y,A4,A4,1,False,False,3.0
accurse,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
accursed,NN,0.0,9.0,social_studies,N,N,N,N,NN,NN,1,False,False,4.0
accusation,C1,5000.0,6.0,social_studies,N,N,N,Y,B1,B1,1,True,False,3.0
accusative,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True,False,6.0
accusatory,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
accuse,B2,3000.0,5.0,social_studies,N,N,N,N,A2,A2,2,True,False,2.0
accused,C1,5000.0,0.0,NN,N,N,N,N,NN,NN,0,True,False,4.0
accuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False,5.0
accusingly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
accustom,NN,0.0,0.0,NN,N,Y,Y,N,B1,B1,1,True,False,3.0
ace,NN,0.0,0.0,NN,N,N,N,N,B2,B1,1,True,False,4.0
acerbic,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False,6.0
acetaldehyde,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acetaminophen,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
acetate,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True,False,5.0
acetic,NN,0.0,9.0,science,N,N,N,N,C2,NN,0,False,False,6.0
acetone,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acetyl,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
acetylate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acetylation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acetylcholine,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
acetylene,NN,0.0,9.0,science,N,N,N,N,C4,NN,0,True,False,6.0
ache,NN,0.0,0.0,NN,N,N,N,N,B1,B1,1,True,False,3.0
achievable,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,False,False,5.0
achieve,A2,3000.0,5.0,general,Y,N,N,N,A1,A2,2,True,False,1.0
achievement,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2,True,False,2.0
achiever,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
achy,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,False,False,6.0
acid,B2,5000.0,4.0,science,N,Y,N,Y,A3,A3,2,True,False,2.0
acidic,NN,0.0,5.0,science,N,Y,N,N,A4,A4,0,False,False,3.0
acidification,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
acidify,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False,6.0
acidity,NN,0.0,6.0,science,N,N,N,N,C1,C1,0,True,False,5.0
acidly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
acidophilic,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
acidosis,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acinar,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
acinus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acknowledge,B2,3000.0,9.0,general,N,N,N,N,A2,A2,2,True,False,2.0
acknowledgement,NN,0.0,9.0,general,N,N,N,N,B2,B2,0,True,False,4.0
acknowledgment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,True,False,4.0
acme,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acne,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
acolyte,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
aconite,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True,False,6.0
acorn,NN,0.0,2.0,science,N,Y,N,N,C1,C1,1,True,False,3.0
acoustic,NN,0.0,0.0,NN,N,Y,N,N,B1,B2,0,True,False,3.0
acoustical,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
acoustically,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False,6.0
acquaint,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1,True,False,4.0
acquaintance,NN,0.0,0.0,NN,N,Y,N,N,B1,B2,1,True,False,3.0
acquaintanceship,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acquiesce,NN,0.0,9.0,social_studies,N,N,N,N,C1,C2,0,True,False,5.0
acquiescence,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True,False,4.0
acquiescent,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
acquire,B2,3000.0,6.0,general,Y,N,N,N,A2,A3,2,True,False,2.0
acquiree,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,,6.0
acquirer,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True,False,6.0
acquisition,C1,5000.0,0.0,NN,N,N,N,N,A3,A3,1,True,False,2.0
acquisitive,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False,6.0
acquisitiveness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acquit,NN,0.0,9.0,social_studies,N,N,N,N,B2,B2,1,True,False,4.0
acquittal,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
acre,B2,5000.0,5.0,math,N,Y,N,Y,B1,B1,2,True,False,2.0
acreage,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
acrid,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,False,False,6.0
acrimonious,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False,6.0
acrimony,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
acrobat,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False,6.0
acrobatic,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False,6.0
acronym,NN,0.0,9.0,general,N,Y,N,N,B3,B3,0,True,False,3.0
acropolis,NN,0.0,6.0,social_studies,N,N,N,N,C3,NN,0,True,False,3.0
acrosome,NN,0.0,0.0,NN,N,N,N,N,C1,NN,0,True,,5.0
across,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,False,False,1.0
acrylamide,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acrylic,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
act,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
actin,NN,0.0,9.0,science,N,N,N,N,C3,NN,0,True,False,6.0
actinic,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,False,False,6.0
actinide,NN,0.0,9.0,science,N,N,N,N,NN,NN,0,True,False,6.0
actinomycin,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
action,A1,3000.0,0.0,NN,N,N,N,N,A1,A1,2,True,False,1.0
actionable,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False,6.0
activate,B2,5000.0,6.0,science,N,N,Y,N,A4,A4,0,True,False,3.0
activation,C1,5000.0,6.0,science,N,N,N,N,B1,B3,0,True,False,3.0
activator,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True,False,6.0
active,A2,3000.0,3.0,general,Y,N,N,N,A2,A2,2,True,False,1.0
actively,NN,0.0,0.0,NN,N,Y,Y,Y,A4,A4,1,False,False,3.0
activeness,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False,6.0
activism,NN,0.0,9.0,social_studies,N,N,N,N,B3,B2,0,True,False,5.0
activist,C1,5000.0,6.0,social_studies,N,Y,N,Y,B1,A4,0,True,False,3.0
activity,A1,3000.0,1.0,general,N,N,N,N,A1,A1,2,True,False,1.0
actor,A1,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True,False,1.0
actress,A1,3000.0,0.0,NN,N,Y,Y,N,A4,B1,2,True,False,1.0
actual,B2,3000.0,4.0,general,Y,N,N,N,A2,A2,2,True,False,2.0
actuality,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
actualization,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
actualize,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
actually,A2,3000.0,0.0,NN,N,N,N,N,A1,A1,2,False,False,1.0
actuarial,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False,False,5.0
actuary,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False,6.0
actuate,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
actuator,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True,False,6.0
acuity,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False,6.0
acumen,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
acupuncture,NN,0.0,6.0,social_studies,N,Y,N,N,C1,C1,0,True,False,3.0
acute,C1,5000.0,4.0,general,N,Y,N,N,A4,A4,1,True,False,3.0
acutely,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0,False,False,5.0
acuteness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
acyclic,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
