Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
abominable,NN,0,0,NN,N,N,N,N,C2,C2,1.0,False,False,4.0,NN,
abominably,NN,0,0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,NN,
abomination,NN,0,6,social_studies,N,N,N,N,C2,C2,1.0,True,False,4.0,NN,
aborad,NN,0,0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,NN,
aboriginal,NN,0,9,social_studies,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
aborigine,NN,0,6,social_studies,N,N,N,N,C3,C2,0.0,True,False,5.0,NN,
abort,NN,0,0,NN,N,N,N,N,B3,B3,0.0,True,False,4.0,NN,
abortion,C1,5000,0,NN,N,N,N,N,A3,A2,0.0,True,False,3.0,C1,
abortionist,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
abortive,NN,0,0,NN,N,N,N,N,C1,C3,0.0,False,False,5.0,NN,
abound,NN,0,0,NN,N,N,N,N,B2,C1,1.0,True,False,3.0,NN,
about,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,False,False,1.0,A1,
above,A1,3000,0,NN,Y,N,N,N,A1,A2,2.0,True,False,1.0,C2,
above-all,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B1,
aboveground,NN,0,0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,NN,
abracadabra,NN,0,0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,NN,
abrade,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
abraham,NN,0,0,NN,N,Y,N,N,NN,NN,0.0,True,True,4.0,NN,
abrasion,NN,0,6,science,N,Y,N,N,C2,C2,0.0,True,False,4.0,NN,medical
abrasive,NN,0,9,science,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
abreast,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,5.0,NN,
abridge,NN,0,9,social_studies,N,N,N,N,C2,C2,1.0,True,False,4.0,NN,
abridgment,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
abroad,B2,3000,6,social_studies,N,N,N,N,A2,A3,2.0,False,False,2.0,B1,
abrogate,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,NN,
abrupt,NN,0,0,NN,N,N,N,N,B2,B3,1.0,False,False,3.0,C2,
abruptly,NN,0,9,general,N,N,N,N,B1,B3,1.0,False,False,3.0,C2,
abruptness,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
abscess,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,NN,medical
abscissa,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
abscond,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,NN,
abseil,NN,0,0,NN,N,N,N,N,C2,NN,0.0,True,False,6.0,NN,
absence,C1,5000,9,general,N,N,N,N,A2,A3,2.0,True,False,2.0,B2,
absent,C1,5000,0,NN,N,Y,Y,N,B1,B1,2.0,True,False,3.0,B1,
absentee,NN,0,9,social_studies,N,N,N,N,B3,B1,0.0,True,False,4.0,NN,
absenteeism,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,NN,
absently,NN,0,0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,NN,
absentmindedly,NN,0,0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,NN,
absolute,B2,3000,6,general,Y,N,N,N,A3,A3,2.0,True,False,2.0,B2,
absolutely,B1,3000,0,NN,N,N,N,N,A2,A1,2.0,False,False,2.0,B1,
absolution,NN,0,0,NN,N,N,N,N,C2,C3,0.0,True,False,6.0,NN,
absolutism,NN,0,9,social_studies,N,N,N,N,C2,NN,0.0,True,False,6.0,NN,
absolutist,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,NN,
absolve,NN,0,0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,NN,
absorb,B2,5000,3,science,Y,Y,Y,Y,A3,A3,2.0,True,False,3.0,C1,
absorbency,NN,0,0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,NN,
absorbent,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
absorber,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
absorption,NN,0,6,science,N,N,N,Y,A4,A4,1.0,True,False,3.0,NN,
absorptive,NN,0,0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,NN,
abstain,NN,0,0,NN,N,N,N,N,C1,B3,1.0,True,False,4.0,NN,
abstainer,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
abstemious,NN,0,0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,NN,
abstention,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,NN,
abstinence,NN,0,0,NN,N,N,N,N,C1,B2,0.0,True,False,5.0,NN,
