title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max
In.Time,0.24956711696837944,0.1702949758396535,0.0349191501436289,0.11736619177360345,0.0,0.05936440330890404,2.1817857925317656,0.9454910082738188,0.5047955577990914,5.483207676490747
Inception,0.2227009041802955,0.19070777321014626,0.10810442045572158,0.06415010254193602,0.09454034645103256,0.11793051104649886,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701
Inside.Job,0.6188287076904304,0.9657981109403239,0.6583256369096496,0.4223113841157039,0.3244267732736819,0.289341570716471,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351
Interstellar,0.2532377495425346,0.37437599746424816,0.2735193228666144,0.24039793755189046,0.2937477009203344,0.4471049609898865,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559
It_s.Complicated,0.3760025499058051,0.22397233513913337,0.18768667812932488,0.27032166265191093,0.22771019073705492,0.18320475642092449,2.5534044672116547,1.2299187840806922,0.5105948429920858,8.513931888544892
Jumanji_.Welcome.to.the.Jungle,0.3593682865788785,0.2577896490698658,0.23575401380634262,0.3714288066899424,0.2162523550632348,0.3464345552156099,3.016157318267156,1.1654453547987258,0.5212405525149857,6.960556844547564
Kill.Bill_.Vol..1,0.18996889971251318,0.12105156508152916,0.11421050786046189,0.24388088662981242,0.17690927419364458,0.19154042810092495,2.6019456073959777,1.0450383633067126,0.7861635220125786,6.784260515603799
Kiss.the.Ground,0.6298881853749255,0.7222624164368672,0.5815851181714708,0.43146250752956783,0.4701808146676215,0.6182803585250818,2.79560818204367,0.8693533696545789,0.8718395815170008,7.9908675799086755
Klaus,0.4453720099778926,0.22907286071839922,0.1492305048786554,0.5690082998210974,0.2908972241037314,0.3552595605789931,3.020931925480352,1.0618716666605532,0.6224496853171035,7.677543186180422
Knock.Down.The.House,0.5821970136869058,0.4814681103733642,0.36967982908323527,0.2450776302066332,0.22280632388726498,0.20692477205821785,3.177433527778789,0.9741330359763908,0.6438789507572577,5.99828620394173
Kung.Fu.Panda,0.32777240259766055,0.23223504489160135,0.1639736586843854,0.22753357802570648,0.07070571831158454,0.184247086340388,2.0365501107660164,0.8887717325151913,0.5047955577990914,4.926108374384237
Kung.Fu.Panda.2,0.37473619330384816,0.26192608206599366,0.0802712544264153,0.42501475048432596,0.18428986753240545,0.21046153039324358,2.15909521340858,1.0604488785211243,0.5211047420531527,7.104795737122559
Kung.Fu.Panda.3,0.3726610811421772,0.16454892293858786,0.16665239184682595,0.3166659169382911,0.20893803188366436,0.2685287928574854,2.958068006751806,1.09919636176047,0.7490636704119851,7.6701821668264625
MINDHUNTER,0.07084226121108397,0.30677720336505016,0.3449099097299808,0.5188206357710753,0.42659351194672973,0.5771468041903429,3.3241772849701414,0.9145336597306732,0.639386189258312,5.994550408719347
