Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
reverb,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
reveler,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
sprite,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
squalid,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
pram,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
outdoorsy,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
useable,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
unashamedly,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
warner,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
prankster,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
unapproved,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
squatter,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
squawk,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
prat,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
squalor,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
unappealing,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
sprinter,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
reverent,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
powerlessness,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
sportswear,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
outmaneuver,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
spotter,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
spotty,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
spousal,NN,0,0,NN,N,N,N,N,C2,C1,0.0,False,False,12,NN,NN
urologist,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
pox,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
revitalization,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
unassuming,NN,0,0,NN,N,N,N,N,C1,C2,0.0,False,False,12,NN,NN
outgrowth,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
outlier,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
spreader,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
unassailable,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
reversion,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
usability,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
outlast,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
springboard,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
outlandish,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
pragmatically,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
springer,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
outhouse,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
sprayer,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
sportscaster,NN,0,0,NN,N,N,N,N,C3,C1,0.0,True,False,12,NN,NN
outcrop,NN,0,0,NN,N,N,N,N,B3,C2,0.0,True,False,12,NN,NN
prattle,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
stagehand,NN,0,0,NN,N,N,N,N,C4,C2,0.0,True,False,12,NN,NN
retrofit,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
