Word,Domain,Level
axle,science,3
pressure,science,3
rattlesnake,science,3
refract,science,3
alligator,science,3
carbon,science,3
germinate,science,3
microscope,science,3
dioxide,science,3
invertebrate,science,3
roadrunner,science,3
wildfire,science,3
freshwater,science,3
mercury,science,3
panda,science,3
screw,science,3
germ,science,3
igneous,science,3
sedimentary,science,3
aluminum,science,3
condensation,science,3
copper,science,3
magma,science,3
offspring,science,3
beam,science,3
conductor,science,3
frequency,science,3
metamorphic,science,3
plateau,science,3
spore,science,3
steam,science,3
thermal,science,3
tube,science,3
battery,science,3
compost,science,3
crystal,science,3
density,science,3
gasoline,science,3
sensory,science,3
chameleon,science,3
cord,science,3
metamorphosis,science,3
silt,science,3
topsoil,science,3
comet,science,3
decay,science,3
insulator,science,3
magnetism,science,3
mold,science,3
tide,science,3
wetlands,science,3
algae,science,3
blast,science,3
blob,science,3
droplet,science,3
granite,science,3
groundwater,science,3
landslide,science,3
locust,science,3
magnify,science,3
marsh,science,3
photosynthesis,science,3
prototype,science,3
species,science,3
tundra,science,3
turbine,science,3
vaccine,science,3
bolt,science,3
coniferous,science,3
eruption,science,3
imprint,science,3
laboratory,science,3
magnetic,science,3
mantle,science,3
microwave,science,3
moist,science,3
moss,science,3
moth,science,3
nerve,science,3
salty,science,3
sediment,science,3
transfer,science,3
woodpecker,science,3
asteroid,science,3
bedrock,science,3
billion,science,3
binocular,science,3
carnivore,science,3
deposit,science,3
erode,science,3
fir,science,3
healthful,science,3
herbivore,science,3
landfill,science,3
mechanical,science,3
meteorologist,science,3
mimicry,science,3
mound,science,3
nectar,science,3
petal,science,3
pollinate,science,3
reef,science,3
reservoir,science,3
robotic,science,3
rod,science,3
spacecraft,science,3
stalk,science,3
vinegar,science,3
windmill,science,3
bacteria,science,3
bamboo,science,3
bobcat,science,3
cheetah,science,3
chimpanzee,science,3
coil,science,3
conifer,science,3
deciduous,science,3
diversity,science,3
dolphin,science,3
faucet,science,3
fertilize,science,3
fluid,science,3
fulcrum,science,3
gear,science,3
geologist,science,3
honeybee,science,3
horizon,science,3
intestine,science,3
kangaroo,science,3
limestone,science,3
magnolia,science,3
millimeter,science,3
newton,science,3
observatory,science,3
omnivore,science,3
ore,science,3
ostrich,science,3
perch,science,3
polio,science,3
pollination,science,3
rainwater,science,3
redesign,science,3
spoonful,science,3
stratus,science,3
subsoil,science,3
survival,science,3
termite,science,3
transparency,science,3
transport,science,3
virus,science,3
yeast,science,3
latitude,social_studies,3
longitude,social_studies,3
western,social_studies,3
education,social_studies,3
settlement,social_studies,3
migration,social_studies,3
northeast,social_studies,3
ethnic,social_studies,3
legislative,social_studies,3
trial,social_studies,3
republic,social_studies,3
crew,social_studies,3
cultural,social_studies,3
export,social_studies,3
import,social_studies,3
international,social_studies,3
northwest,social_studies,3
economy,social_studies,3
judicial,social_studies,3
jury,social_studies,3
religion,social_studies,3
official,social_studies,3
seaport,social_studies,3
telegraph,social_studies,3
union,social_studies,3
church,social_studies,3
domain,social_studies,3
global,social_studies,3
industry,social_studies,3
port,social_studies,3
territory,social_studies,3
transcontinental,social_studies,3
amendment,social_studies,3
architecture,social_studies,3
canal,social_studies,3
disaster,social_studies,3
kingdom,social_studies,3
caribbean,social_studies,3
civilization,social_studies,3
duty,social_studies,3
economic,social_studies,3
generation,social_studies,3
imagery,social_studies,3
monarch,social_studies,3
countryside,social_studies,3
district,social_studies,3
immigration,social_studies,3
lumber,social_studies,3
mill,social_studies,3
religious,social_studies,3
tribe,social_studies,3
vegetation,social_studies,3
veto,social_studies,3
worship,social_studies,3
anthem,social_studies,3
enforce,social_studies,3
enslave,social_studies,3
govern,social_studies,3
landscape,social_studies,3
spice,social_studies,3
suffrage,social_studies,3
adobe,social_studies,3
appoint,social_studies,3
baron,social_studies,3
boom,social_studies,3
consent,social_studies,3
guilty,social_studies,3
homestead,social_studies,3
hopi,social_studies,3
immigrate,social_studies,3
lawyer,social_studies,3
locomotive,social_studies,3
merchant,social_studies,3
military,social_studies,3
minister,social_studies,3
patriot,social_studies,3
patriotism,social_studies,3
reap,social_studies,3
reservation,social_studies,3
tourist,social_studies,3
tribal,social_studies,3
waterway,social_studies,3
aesop,social_studies,3
beret,social_studies,3
boycott,social_studies,3
