Word,oxford_level,oxford_version
deck,B2,5000
declaration,C1,5000
decline,B2,3000
decorate,B1,3000
decoration,B2,3000
decrease,B2,3000
dedicated,C1,5000
dedication,C1,5000
deed,C1,5000
deeply,B2,3000
default,C1,5000
defeat,B2,3000
defect,C1,5000
defence,B2,3000
defend,B2,3000
defender,B2,5000
defensive,C1,5000
deficiency,C1,5000
deficit,C1,5000
definite,A1,3000
definition,B1,3000
defyv,C1,5000
delegate,C1,5000
delegation,C1,5000
delete,B2,5000
deliberate,B2,3000
deliberately,B2,3000
delicate,C1,5000
delight,B2,3000
delighted,B2,3000
deliver,B1,3000
delivery,B2,3000
demand,B2,3000
democracy,B2,5000
democratic,B2,5000
demon,C1,5000
demonstrate,B2,3000
demonstration,B2,5000
denial,C1,5000
denounce,C1,5000
dense,C1,5000
density,C1,5000
deny,B2,3000
depart,B2,5000
departure,B1,3000
dependence,C1,5000
dependent,B2,5000
depict,C1,5000
deploy,C1,5000
deployment,C1,5000
deposit,B2,5000
depressed,B2,3000
depressing,B2,3000
depression,B2,5000
deprive,C1,5000
depth,B2,3000
deputy,C1,5000
derive,B2,5000
descend,C1,5000
descent,C1,5000
description,A1,3000
desert,B2,3000
deserve,B2,3000
designate,C1,5000
desirable,C1,5000
desire,B2,3000
desktop,C1,5000
desperate,B2,3000
desperately,B2,5000
despite,B1,3000
destination,B1,3000
destruction,B2,5000
destructive,C1,5000
detail,B2,3000
detailed,B2,3000
detain,C1,5000
detect,B2,3000
detection,C1,5000
detention,C1,5000
deteriorate,C1,5000
determination,B2,5000
determine,B1,3000
determined,B1,3000
devastate,C1,5000
development,B1,3000
devil,C1,5000
devise,C1,5000
devote,B2,5000
diagnose,C1,5000
diagnosis,C1,5000
diagram,B1,3000
diamond,B1,3000
dictate,C1,5000
dictator,C1,5000
differ,B2,5000
differentiate,C1,5000
difficulty,B1,3000
dig,B2,3000
dignity,C1,5000
dilemma,C1,5000
dimension,C1,5000
diminish,C1,5000
diplomatic,C1,5000
directly,B1,3000
directory,C1,5000
disability,B2,5000
disabled,B2,5000
disadvantage,B1,3000
disagreement,B2,5000
disappoint,B2,5000
disappointed,B1,3000
disappointing,B1,3000
disappointment,B2,5000
disastrous,C1,5000
discard,C1,5000
discharge,C1,5000
discipline,B2,3000
disclose,C1,5000
disclosure,C1,5000
discount,B1,3000
discourage,B2,5000
discourse,C1,5000
discretion,C1,5000
discrimination,C1,5000
dishonest,B2,3000
dislike,B1,3000
dismiss,B2,3000
dismissal,C1,5000
disorder,B2,5000
displace,C1,5000
display,B2,3000
disposal,C1,5000
dispose,C1,5000
dispute,C1,5000
disrupt,C1,5000
disruption,C1,5000
dissolve,C1,5000
distant,B2,5000
distinct,B2,5000
distinction,C1,5000
distinctive,C1,5000
distinguish,B2,5000
distort,C1,5000
distract,B2,5000
distress,C1,5000
distribute,B2,3000
distribution,B2,3000
district,B2,3000
disturb,B2,5000
disturbing,C1,5000
dive,B2,5000
diverse,B2,5000
diversity,B2,5000
divert,C1,5000
divide,B1,3000
division,B2,3000
divorce,B2,5000
doctor,A1,3000
doctrine,C1,5000
document,A2,3000
documentary,B1,3000
documentation,C1,5000
domain,C1,5000
domestic,B2,3000
dominance,C1,5000
dominant,B2,5000
dominate,B2,3000
donate,B1,3000
donation,B2,5000
donor,C1,5000
dose,C1,5000
dot,B2,5000
double,B1,3000
doubt,B1,3000
