Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
tax,B1,3000,2,social_studies,Y,N,N,N,A1,A1,2.0,True,False,4,C1,social_studies
at-hand,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
version,B1,3000,5,general,Y,N,N,N,A1,A2,2.0,True,False,4,C1,general
verse,C1,5000,0,NN,N,Y,N,N,B1,B1,1.0,True,False,4,B2,NN
british,NN,0,2,social_studies,N,Y,N,N,NN,NN,2.0,True,True,4,NN,social_studies
affluent,NN,0,0,NN,N,N,N,N,B2,B2,0.0,True,False,4,C1,NN
runaway,NN,0,5,social_studies,N,N,N,N,B3,B3,1.0,True,False,4,NN,social_studies
aztec,NN,0,5,social_studies,N,Y,N,N,NN,NN,0.0,True,False,4,NN,social_studies
techno,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,4,C1,NN
vegetation,NN,0,3,social_studies,N,Y,N,N,A4,A4,1.0,True,False,4,C1,social_studies
to-cap-it-off,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
recipient,C1,5000,0,NN,N,Y,Y,Y,B1,B1,0.0,True,False,4,NN,NN
technologically,NN,0,9,social_studies,N,N,N,N,C1,B3,0.0,False,False,4,C1,social_studies
tedious,NN,0,0,NN,N,N,N,N,B2,B3,1.0,False,False,4,C1,NN
push,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,4,C1,NN
at-times,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
unpaid,NN,0,9,social_studies,N,N,Y,Y,B2,B2,0.0,False,False,4,C1,social_studies
put-something-into-practice,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
put-your-mind-to-it,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
choir,C1,5000,0,NN,N,N,N,N,B1,B1,1.0,True,False,4,B2,NN
recharge,NN,0,9,science,N,N,N,N,C1,C1,0.0,True,False,4,C1,science
ambassador,C1,5000,6,social_studies,N,N,Y,Y,B1,A4,1.0,True,False,4,B2,social_studies
at-the-very-least,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
seemingly,C1,5000,0,NN,N,Y,N,Y,B1,B1,1.0,False,False,4,C1,NN
technician,NN,0,4,science,N,N,Y,N,B1,B1,1.0,True,False,4,C1,science
cholesterol,NN,0,6,science,N,N,N,N,B1,B1,0.0,True,False,4,C1,science
selective,C1,5000,6,general,N,Y,N,Y,A4,A4,1.0,True,False,4,C1,general
to-spare,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
aftermath,C1,5000,9,general,N,N,N,N,B1,B1,0.0,True,False,4,NN,general
to-say-the-least,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
seldom,C1,5000,0,NN,N,Y,Y,Y,B1,B2,2.0,False,False,4,B2,NN
telegraph,NN,0,3,social_studies,N,Y,N,N,B3,B3,1.0,True,False,4,NN,social_studies
to-make-a-long-story-short,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
running-water,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
chamber,C1,5000,0,NN,N,N,N,N,A3,A3,2.0,True,False,4,NN,NN
to-do-so,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
segregation,NN,0,3,social_studies,N,N,N,N,B2,B1,0.0,True,False,4,NN,social_studies
segregate,NN,0,4,social_studies,N,N,N,N,B2,B1,0.0,True,False,4,NN,social_studies
segment,C1,5000,4,math,Y,N,N,N,A3,A3,1.0,True,False,4,NN,math
runway,NN,0,0,NN,N,N,N,N,B2,B1,1.0,True,False,4,C1,NN
pursue,B2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,4,C1,NN
purity,NN,0,0,NN,N,N,N,N,B2,B3,1.0,True,False,4,C1,NN
propel,NN,0,6,general,N,Y,N,N,B2,B2,1.0,True,False,4,NN,general
sensation,C1,5000,0,NN,N,Y,N,N,A4,A4,1.0,True,False,4,B2,NN
vertical,B2,5000,5,math,Y,Y,N,Y,A4,A4,2.0,True,False,4,C1,math
among,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,4,C1,NN
take-effect,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
take-it-from-me,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
take-the-initiative,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
separatist,NN,0,5,social_studies,N,N,N,Y,B3,B1,0.0,True,False,4,NN,social_studies
chunk,C1,5000,0,NN,Y,Y,N,Y,A4,A4,0.0,True,False,4,NN,NN
recreate,NN,0,0,NN,N,N,N,N,B2,B1,1.0,True,False,4,C1,NN
